# list of object assets to load in this scene
[ASSETS]
brick.txt
coin.txt
cloud.txt
#
# id	left	top	right	bottom	texture_id
[SPRITES]
#========== Mario ===========
# BIG MARIO
#RIGHT
#idle right
1	216	243	230	270	0
#walk right
2	255	243	271	270	0
3	295	244	311	270	0
#jump right
4	335	244	351	270	0
#falling right
5	295	244	311	270	0
#sit right
6	376	238	390	266	0
#running right
7	213	323	232	350	0
8	253	323	272	350	0
9	293	324	312	350	0
#MARIO STOP RIGHT
10	175	283	191	311	0
# hold shell right
11	331	323	345	350	0
12	356	323	371	350	0
13	381	323	396	350	0

#LEFT
#idle left
21	176	243	190	270	0
#walk left
22	95	244	111	270	0
23	135	243	151	270	0
#jump left
24	55	244	71	270	0
#falling left
25	95	244	111	270	0
#sit left
26	16	238	30	266	0
#running left
27	174	323	193	350	0
28	134	323	153	350	0
29	94	324	113	350	0
#MARIO STOP LEFT
30	215	283	231	311	0
# hold shell left
31	61	323	75	350	0
32	35	323	50	350	0
33	10	323	25	350	0

# die
999	375	209	391	225	0

# SMALL mario
#RIGHT
# idle small right
41	217	89	229	104	0
#walk right
42	256	89	271	105	0
43	256	89	271	105	0
#jump right
44	335	89	351	105	0
#running small right
45	215	169	231	185	0
46	255	169	271	185	0
#Stop right
47	216	129	230	145	0
# hold shell right
48	336	169	350	185	0
49	376	169	391	185	0
#LEFT
#idle small left
61	177	89	189	104	0
#walk right
62	135	89	150	105	0
63	135	89	150	105	0
#jump left
64	55	89	71	105	0
#running small left
65	175	169	191	185	0
66	135	169	151	185	0
#stop left
67	176	129	190	145	0
# hold shell left
68	56	169	70	185	0
69	15	169	30	185	0

#==============QUESTION BRICK=============
711	157	188	173	204	20
712	176	188	192	204	20
713	196	188	212	204	20
714	215	188	231	204	20
# normal
715	235	188	251	204	20

#==============BRONZE BRICK===============
721	274	188	290	204	20
722	293	188	309	204	20
723	312	188	328	204	20
724	331	188	347	204	20
					
#==================PIPE===================
# long pipe
2001	5	28	37	76	21
# short pipe
2002	201	415	233	447	21
#black short pipe
2003	433	223	465	255	21
#================GOOMBA=====================
#NORMAL
601	5	14	21	29	10
602	25	14	41	29	10
#die
603	45	14	61	29	10
#die by attack
604	299	341	315	357	54

#RED PARA GOOMBA					
#wing walk
605	140	35	160	59	52
606	116	35	136	59	52
#wing fly
607	90	35	110	59	52
608	66	35	86	59	52
#no wing walk
609	121	62	141	86	52
610	100	62	120	86	52
#no wing die
611	141	62	161	86	52
#wing die
612	200	274	220	298	54

#========== KOOPAS ==========
#walk left
501	205	191	221	217	30
502	222	191	238	217	30
#walk right
503	187	191	202	217	30
504	170	191	185	217	30
#die sap
505	239	191	255	217	30
#die ngua
506	152	192	168	228	30
#rung sap
#507	74	127	90	153	52
#rung ngua
#508	46	259	62	285	54
#die move sap
509	239	191	256	217	30
510	256	191	273	217	30
511	273	191	290	217	30
512	290	191	307	217	30
#die move ngua - shell
513	245	163	261	191	31
514	190	163	206	191	31
515	226	163	242	191	31
516	208	163	224	191	31
#rung sap
581	196	32	214	59	52
582	198	32	214	59	52
583	226	32	244	59	52
584	228	32	244	59	52
#rung ngua
585	41	325	59	352	54
586	43	325	59	352	54
587	12	326	32	353	54
588	14	326	32	353	54

#RED TROOPA
# move right
521	28	67	44	93	52
522	47	66	63	93	52
# move left
523	280	67	296	93	53
524	261	66	277	93	53
# lay prone nam sap
525	198	85	214	120	52
# lay supine nam ngua
526	114	259	130	285	54
# vibrate prone
#527	71	75	89	91	52
# vibrate supine
#528	235	277	253	293	54
# spin and move prone
529	239	164	256	200	30
530	256	164	273	200	30
531	273	164	290	200	30
532	290	164	307	200	30
# spin and move supine
533	279	216	295	252	31
534	228	216	244	252	31
535	262	216	278	252	31
536	245	216	261	252	31

#rung sap
591	260	31	288	58	52
592	262	31	288	58	52
593	290	31	309	58	52
594	293	31	309	58	52
#rung ngua
595	104	296	122	323	54
596	106	296	122	323	54
597	70	326	91	353	54
598	73	326	91	353	54

#GREEN PARA KOOPAS
#LEFT
541	205	248	221	276	30
542	222	248	238	276	30
543	239	248	255	276	30
544	256	248	272	276	30

#RIGHT
551	329	248	345	276	30
552	312	248	328	276	30
553	295	248	311	276	30
554	278	248	294	276	30

#RED PARA KOOPAS
#LEFT
561	205	219	221	247	30
562	222	219	238	247	30
563	239	219	255	247	30
564	256	219	272	247	30

#RIGHT
571	329	219	345	247	30
572	312	219	328	247	30
573	295	219	311	247	30
574	278	219	294	247	30
#========== MushRoom ==========
#super mushroom
301	156	121	172	137	20
#super leaf
302	180	121	196	137	20
#FIRE FLOWER
303	309	121	325	137	20
#up mushroom
306	286	121	302	137	20
#=================COIN======================
#Big
351	228	7	242	23	21
352	245	7	257	23	21
353	258	7	268	23	21
354	271	7	283	23	21
#small
451	294	101	302	115	20
452	389	101	395	115	20
453	318	101	325	115	20
454	309	101	312	115	20

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO =========
#BIG
#idle BIG right
0	1	100
#walk right big	
1	1	100	2	100	3	100
#jump right big
2	4	100
#fall right
3	5	100
#sit right
4	6	100
#runing right
5	7	25	8	25	9	25
#stop right
6	10	100
# idle hold shell right
7	11	100
# walk hold shell right	
8	11	100	12	100	13	100	12	100
# on air hold shell right
9	13	100

#idle BIG left
20	21	100
#walk left big
21	21	100	22	100	23	100
#jump left big
22	24	100
#fall right
23	25	100
# sit left
24	26	100
#runing left
25	27	25	28	25	29	25
#stop left
26	30	100
# idle hold shell left
27	31	100
# walk hold shell left
28	31	100	32	100	33	100	32	100
# on air hold shell left
29	33	100

#SMALL
#idle small right
40	41	100
#walk right small
41	41	100	42	100	43	100
# jump SMALL right	
42	44	100
#run right
43	45	25	46	25
#stop right
44	47	100
# idle hold shell right
45	48	100
# walk hold shell right
46	48	100	49	100
# on air hold shell right
47	49	100

#idle small left
60	61	100
#walk left small
61	61	100	62	100	63	100
# jump SMALL left
62	64	100
#run right
63	65	25	66	25
#stop right
64	67	100
# idle hold shell right
65	68	100
# walk hold shell right
66	68	100	69	100
# on air hold shell right
67	69	100

# transfrom from small to big left
70	61	100	21	100	61	100	21	100	61	100	21	100
# transfrom from small to big right
71	41	100	1	100	41	100	1	100	41	100	1	100

#die
999	999	100
#==============QUESTION BRICK=============
702	711	100	712	100	713	100	714	100
703	715	100
# ========== PIPE ==========
# long pipe
1001	2001	100
# short pipe
1002	2002	100
# black short pipe
1003	2003	100

# ====== GOOMBA  =========
# walk	
601	601	100	602	100
# die
602	603	100
# die by attack
603	604	100

#==RED PARA GOOMBA ==
#wing walk
611	605	100	606	100
#wing fly low
612	607	100	606	100	608	100	605	100
#wing fly high
613	607	75	606	75	608	75	605	75
#no wing walk 
614	609	100	610	100
#no wing die #die by crush
615	611	100
#die fly # die by attack
616	612	100

# ==== KOOPAS  =========
#walk left
501	501	100	502	100
#walk right
502	503	100	504	100
#die sap
503	505	100
#die ngua
504	506	100
#rung khi nam sap
505	581	50	582	50	583	50	584	50
#rung khi nam ngua
506	585	50	586	50	587	50	588	50
# die move sap
507	509	30	510	30	511	30	512	30
#die move ngua
508	513	30	514	30	515	30	516	30

# ====== RED KOOPA ======
# move right
511	521	100	522	100
# move left
512	523	100	524	100
# nam sap
513	525	100
# lay supsine: nam ngua
514	526	100
# vibrate prone: rung khi nam sap
515	591	50	592	50	593	50	594	50
# vibrate supine: rung khi nam ngua
516	595	50	596	50	597	50	598	50
# spin and move prone: xoay vong va di chuyen sap
517	529	30	530	30	531	30	532	30
